sheetId,assignmentId,groupIdTeamId,timestamp,methodName,buildSucceeded,sourceFilePresent,pairStatus,originalOutcome,testifyOutcome,testifyHint,buildErrorCode,buildErrorMessage,buildErrorFile,buildErrorLine,buildErrorColumn,originalMessage,testifyMessage,originalFailureSummary,testifyFailureSummary,originalOutput,testifyOutput,originalDuration,testifyDuration
"02","4","01_14","20231112152943","a) Avg3 Zufallstest","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.a) Avg3 Zufallstest threw exception: 
System.Exception: Falsifiable, after 1 test (3 shrinks) (11237763088694916841,6733681599732066965). 
Last step was invoked with size of 101 and seed of (17949579374645526462,7267001945453983067):
Original:
90N
24N
19N
Shrunk:
0N
0N
0N
with exception:
System.Exception: TODO
   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.a) Avg3 Zufallstest@47.Invoke(Nat x, Nat y, Nat z) in /workspace/Tests.fs:line 48
   at System.Lazy`1.ViaFactory(LazyThreadSafetyMode mode)
   at System.Lazy`1.ExecutionAndPublication(LazyHelper executionAndPublication, Boolean useDefaultConstructor)
   at System.Lazy`1.CreateValue()
   at FsCheck.Testable.Prop.safeForce[a](Lazy`1 body) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Testable.fs:line 156
","[EqualToReference] Failed property case: Zahlen.avg3 0N 0N 0N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Avg3 Zufallstest threw exception: 
System.Exception: Falsifiable, after 1 test (3 shrinks) (11237763088694916841,6733681599732066965). 
Last step was invoked with size of 101 and seed of (17949579374645526462,7267001945453983067):
Original:
90N
24N
19N
Shrunk:
0N
0N
0N
with exception:
System.Exception: TODO
   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.a) Avg3 Zufallstest@47.Invoke(Nat x, Nat y, Nat z) in /workspace/Tests.fs:line 48
   at System.Lazy`1.ViaFactory(LazyThreadSafetyMode mode)
   at System.Lazy`1.ExecutionAndPublication(LazyHelper executionAndPublication, Boolean useDefaultConstructor)
   at System.Lazy`1.CreateValue()
   at FsCheck.Testable.Prop.safeForce[a](Lazy`1 body) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Testable.fs:line 156
","[EqualToReference] Failed property case: Zahlen.avg3 0N 0N 0N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Avg3 Zufallstest threw exception: 
System.Exception: Falsifiable, after 1 test (3 shrinks) (11237763088694916841,6733681599732066965). 
Last step was invoked with size of 101 and seed of (17949579374645526462,7267001945453983067):
Original:
90N
24N
19N
Shrunk:
0N
0N
0N
with exception:
System.Exception: TODO
   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.a) Avg3 Zufallstest@47.Invoke(Nat x, Nat y, Nat z) in /workspace/Tests.fs:line 48
   at System.Lazy`1.ViaFactory(LazyThreadSafetyMode mode)
   at System.Lazy`1.ExecutionAndPublication(LazyHelper executionAndPublication, Boolean useDefaultConstructor)
   at System.Lazy`1.CreateValue()
   at FsCheck.Testable.Prop.safeForce[a](Lazy`1 body) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Testable.fs:line 156


   at Microsoft.FSharp.Core.PrintfModule.PrintFormatToStringThenFail@1448.Invoke(String message)
   at <StartupCode$FsCheck>.$Runner.get_throwingRunner@636.FsCheck.IRunner.OnFinished(String name, TestResult testResult) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Runner.fs:line 646
   at FsCheck.Runner.runner[a](Config config, a prop) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Runner.fs:line 431
   at GdP23.S02.A4.Template.Tests.Tests.a) Avg3 Zufallstest() in /workspace/Tests.fs:line 47
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.a) Avg3 Zufallstest threw exception: 
System.Exception: [EqualToReference] Failed property case: Zahlen.avg3 0N 0N 0N
Hint: Replace TODO placeholder
Expected: 0N
Actual: Exception: TODO
Because: Tested code threw Exception: TODO but the reference returned 0N.","0.0193867","0.0813143"
"02","4","01_14","20231112152943","a) Beispiel 1","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 1 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 2N 2N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 1 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 2N 2N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 1 threw exception: 
System.Exception: TODO

   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.Tests.a) Beispiel 1() in /workspace/Tests.fs:line 31
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.a) Beispiel 1 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.avg3 2N 2N 2N
Hint: Replace TODO placeholder
Expected: be equal to 2N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0007663","0.3873931"
"02","4","01_14","20231112152943","a) Beispiel 2","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 2 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 2N 5N 5N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 2 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 2N 5N 5N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 2 threw exception: 
System.Exception: TODO

   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.Tests.a) Beispiel 2() in /workspace/Tests.fs:line 35
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.a) Beispiel 2 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.avg3 2N 5N 5N
Hint: Replace TODO placeholder
Expected: be equal to 4N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0006834","0.0031133"
"02","4","01_14","20231112152943","a) Beispiel 3","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 3 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 5N 5N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 3 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 5N 5N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 3 threw exception: 
System.Exception: TODO

   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.Tests.a) Beispiel 3() in /workspace/Tests.fs:line 39
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.a) Beispiel 3 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.avg3 5N 5N 2N
Hint: Replace TODO placeholder
Expected: be equal to 4N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0005755","0.0018133"
"02","4","01_14","20231112152943","a) Beispiel 4","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 4 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 11N 6N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 4 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.avg3 11N 6N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.a) Beispiel 4 threw exception: 
System.Exception: TODO

   at Zahlen.avg3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 13
   at GdP23.S02.A4.Template.Tests.Tests.a) Beispiel 4() in /workspace/Tests.fs:line 43
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.a) Beispiel 4 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.avg3 11N 6N 2N
Hint: Replace TODO placeholder
Expected: be equal to 6N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0005835","0.0020925"
"02","4","01_14","20231112152943","b) Beispiel 1","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 1 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.min3 1N 3N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 1 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.min3 1N 3N 2N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 1 threw exception: 
System.Exception: TODO

   at Zahlen.min3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 16
   at GdP23.S02.A4.Template.Tests.Tests.b) Beispiel 1() in /workspace/Tests.fs:line 57
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.b) Beispiel 1 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.min3 1N 3N 2N
Hint: Replace TODO placeholder
Expected: be equal to 1N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0003794","0.0026155"
"02","4","01_14","20231112152943","b) Beispiel 2","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 2 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.min3 7N 7N 7N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 2 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.min3 7N 7N 7N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 2 threw exception: 
System.Exception: TODO

   at Zahlen.min3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 16
   at GdP23.S02.A4.Template.Tests.Tests.b) Beispiel 2() in /workspace/Tests.fs:line 61
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.b) Beispiel 2 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.min3 7N 7N 7N
Hint: Replace TODO placeholder
Expected: be equal to 7N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0003579","0.0019849"
"02","4","01_14","20231112152943","b) Beispiel 3","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 3 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.min3 815N 42N 4711N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 3 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.min3 815N 42N 4711N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Beispiel 3 threw exception: 
System.Exception: TODO

   at Zahlen.min3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 16
   at GdP23.S02.A4.Template.Tests.Tests.b) Beispiel 3() in /workspace/Tests.fs:line 65
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.b) Beispiel 3 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.min3 815N 42N 4711N
Hint: Replace TODO placeholder
Expected: be equal to 42N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0003157","0.0015752"
"02","4","01_14","20231112152943","b) Maximum Zufallstest","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.b) Maximum Zufallstest threw exception: 
System.Exception: Falsifiable, after 1 test (3 shrinks) (8882916747766299761,13509901623780032881). 
Last step was invoked with size of 101 and seed of (12684856821297898757,719099165914992383):
Original:
88N
37N
2N
Shrunk:
0N
0N
0N
with exception:
System.Exception: TODO
   at Zahlen.min3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 16
   at GdP23.S02.A4.Template.Tests.b) Maximum Zufallstest@69.Invoke(Nat x, Nat y, Nat z) in /workspace/Tests.fs:line 70
   at System.Lazy`1.ViaFactory(LazyThreadSafetyMode mode)
   at System.Lazy`1.ExecutionAndPublication(LazyHelper executionAndPublication, Boolean useDefaultConstructor)
   at System.Lazy`1.CreateValue()
   at FsCheck.Testable.Prop.safeForce[a](Lazy`1 body) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Testable.fs:line 156
","[EqualToReference] Failed property case: Zahlen.min3 0N 0N 0N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Maximum Zufallstest threw exception: 
System.Exception: Falsifiable, after 1 test (3 shrinks) (8882916747766299761,13509901623780032881). 
Last step was invoked with size of 101 and seed of (12684856821297898757,719099165914992383):
Original:
88N
37N
2N
Shrunk:
0N
0N
0N
with exception:
System.Exception: TODO
   at Zahlen.min3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 16
   at GdP23.S02.A4.Template.Tests.b) Maximum Zufallstest@69.Invoke(Nat x, Nat y, Nat z) in /workspace/Tests.fs:line 70
   at System.Lazy`1.ViaFactory(LazyThreadSafetyMode mode)
   at System.Lazy`1.ExecutionAndPublication(LazyHelper executionAndPublication, Boolean useDefaultConstructor)
   at System.Lazy`1.CreateValue()
   at FsCheck.Testable.Prop.safeForce[a](Lazy`1 body) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Testable.fs:line 156
","[EqualToReference] Failed property case: Zahlen.min3 0N 0N 0N","Test method GdP23.S02.A4.Template.Tests+Tests.b) Maximum Zufallstest threw exception: 
System.Exception: Falsifiable, after 1 test (3 shrinks) (8882916747766299761,13509901623780032881). 
Last step was invoked with size of 101 and seed of (12684856821297898757,719099165914992383):
Original:
88N
37N
2N
Shrunk:
0N
0N
0N
with exception:
System.Exception: TODO
   at Zahlen.min3(Nat a, Nat b, Nat c) in /workspace/Zahlen.fs:line 16
   at GdP23.S02.A4.Template.Tests.b) Maximum Zufallstest@69.Invoke(Nat x, Nat y, Nat z) in /workspace/Tests.fs:line 70
   at System.Lazy`1.ViaFactory(LazyThreadSafetyMode mode)
   at System.Lazy`1.ExecutionAndPublication(LazyHelper executionAndPublication, Boolean useDefaultConstructor)
   at System.Lazy`1.CreateValue()
   at FsCheck.Testable.Prop.safeForce[a](Lazy`1 body) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Testable.fs:line 156


   at Microsoft.FSharp.Core.PrintfModule.PrintFormatToStringThenFail@1448.Invoke(String message)
   at <StartupCode$FsCheck>.$Runner.get_throwingRunner@636.FsCheck.IRunner.OnFinished(String name, TestResult testResult) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Runner.fs:line 646
   at FsCheck.Runner.runner[a](Config config, a prop) in C:\Users\kurts\Projects\FsCheck\src\FsCheck\Runner.fs:line 431
   at GdP23.S02.A4.Template.Tests.Tests.b) Maximum Zufallstest() in /workspace/Tests.fs:line 69
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.b) Maximum Zufallstest threw exception: 
System.Exception: [EqualToReference] Failed property case: Zahlen.min3 0N 0N 0N
Hint: Replace TODO placeholder
Expected: 0N
Actual: Exception: TODO
Because: Tested code threw Exception: TODO but the reference returned 0N.","0.001666","0.0064229"
"02","4","01_14","20231112152943","c) Beispiel 1","True","True","paired","Failed","Failed","Replace TODO placeholder","","","","","","Test method GdP23.S02.A4.Template.Tests+Tests.c) Beispiel 1 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.ceil10 1N","Test method GdP23.S02.A4.Template.Tests+Tests.c) Beispiel 1 threw exception: 
System.Exception: TODO","[EqualTo] Failed test: Zahlen.ceil10 1N","Test method GdP23.S02.A4.Template.Tests+Tests.c) Beispiel 1 threw exception: 
System.Exception: TODO

   at Zahlen.ceil10(Nat a) in /workspace/Zahlen.fs:line 19
   at GdP23.S02.A4.Template.Tests.Tests.c) Beispiel 1() in /workspace/Tests.fs:line 79
   at System.Reflection.MethodBaseInvoker.InterpretedInvoke_Method(Object obj, IntPtr* args)
   at System.Reflection.MethodBaseInvoker.InvokeWithNoArgs(Object obj, BindingFlags invokeAttr)
","Test method GdP23.S02.A4.Template.TestifyTests+TestifyTests.c) Beispiel 1 threw exception: 
System.Exception: [EqualTo] Failed test: Zahlen.ceil10 1N
Hint: Replace TODO placeholder
Expected: be equal to 10N
Actual: Exception: TODO
Because: Expression raised an exception before producing a value: Exception: TODO","0.0003843","0.0013892"
