"EXERCISE","SHEET","GROUPID","TEAMID","ASSIGNMENT","PHYSICAL_FILENAME","DELETE_TIMESTAMP"
"GdP23","01","03","2","3","20231103133246-image.jpg","20231103133308"
"GdP23","01","03","2","3","20231103133308-image.jpg","20231103133601"
"GdP23","01","02","9","2","20231105115714-Übung 1 Gdp Joshua Kennel.pdf","20231105115902"
"GdP23","01","10","13","2","20231105135549-Übungsblatt01_Aufgabe2.pdf","20231105140035"
"GdP23","01","11","4","2","20231105155004-GdP Übung 1 aufgabe 2.pdf","20231107152154"
"GdP23","01","03","12","2","20231105181140-Image to PDF 20231105 18.09.57.pdf","20231105181310"
"GdP23","01","02","16","2","20231105211033-Ü1-Aufgb3-ELFERIOUNI.pdf","20231105211127"
"GdP23","01","01","15","2","20231105220452-Aufgabe 2gdp1 pesseuh.pdf","20231105221009"
"GdP23","01","01","15","3","20231105220500-Aufgabe 3 gdp 1.pdf","20231105221053"
"GdP23","01","02","17","2","20231105221044-Übungsblatt_01_02.pdf","20231105221316"
"GdP23","01","05","3","2","20231105223427-GDP Abb1 A2 Nicolas Born+Alexander Masanko.pdf","20231113171418"
"GdP23","01","03","7","2","20231105234206-GdP_HA_2_1.pdf","20231122231807"
"GdP23","01","01","7","3","20231106244901-Group7_3_sheet0.pdf","20231106244907"
"GdP23","01","02","13","2","20231106013458-GdP_Übungsblatt 1_Aufgabe 3_Lingling Li.pdf","20231106013514"
"GdP23","01","01","14","2","20231106024018-Leyla Munyana blatt1.pdf","20231106024522"
"GdP23","01","01","14","3","20231106024031-Leyla Munyana blatt1.pdf","20231106024525"
"GdP23","01","06","19","3","20231106073247-SmartSelect_20231103-193347_Samsung Notes.jpg","20231106073709"
"GdP23","01","06","19","2","20231106073344-SmartSelect_20231106-073332_Samsung Notes.jpg","20231106073658"
"GdP23","01","06","19","2","20231106073705-Zirwes, uebung01, Aufgabe 1.pdf","20231106073907"
"GdP23","01","09","13","2","20231106140849-GDP Blatt 1.pdf","20231106141110"
"GdP23","01","09","13","3","20231106140908-GDP Blatt 1.pdf","20231106141111"
"GdP23","01","07","7","2","20231106205950-GdP_Aufgabe3_AlyssaMori_MaritKlasen.pdf","20231106210226"
"GdP23","01","07","7","2","20231106210044-GdP_Aufgabe2_AlyssaMori_MaritKlasen.docx","20231106210220"
"GdP23","01","07","7","2","20231106210331-GdP 311023 Aufgabe 2_231106_185054.pdf","20231106213742"
"GdP23","01","07","14","2","20231106213942-GdP Blatt1 Aufg2 Schleich Kilian.jpg","20231106214240"
"GdP23","01","11","13","2","20231107101217-GdP.pdf","20231107151633"
"GdP23","01","11","13","3","20231107101225-GdP (1).pdf","20231107151548"
"GdP23","01","11","13","3","20231107151548-GdP (1).pdf","20231107151631"
"GdP23","01","08","17","3","20231107203849-IMG_20231107_203546549~2.jpg","20231107203854"
"GdP23","01","08","17","3","20231107203854-IMG_20231107_203546549~2.jpg","20231107203932"
"GdP23","01","08","17","3","20231107204124-DW_GdP1.2.jpg","20231107214555"
"GdP23","01","10","20","2","20231108240317-gdp.pdf","20231108240439"
"GdP23","01","08","6","2","20231108010901-Scan_20231108.pdf","20231110084608"
"GdP23","01","08","6","3","20231108010903-Scan_20231108.pdf","20231110084611"
"GdP23","01","09","14","2","20231108015837-gdb.übungsblatt1.Aufgabe2.Fadi Sawan.pdf","20231108015916"
"GdP23","01","09","14","2","20231108015916-gdb.übungsblatt1.Aufgabe2.Fadi Sawan.pdf","20231108020038"
"GdP23","01","09","14","3","20231108015946-gdb.übungsblatt1.Aufgabe3.Fadi Sawan.pdf","20231108020207"
"GdP23","01","09","9","2","20231108062422-Übungen_Gdp (2).pdf","20231108062621"
"GdP23","01","09","9","3","20231108062430-Übungen_Gdp_1.pdf","20231108062802"
"GdP23","01","09","9","2","20231108062618-Übungen_Gdp_2.jpg","20231108062650"
"GdP23","01","09","9","2","20231108062636-Übungen_Gdp_3.jpg","20231108062652"
"GdP23","01","09","11","2","20231108112132-Aufgabe2.pdf","20231108112244"
"GdP23","01","09","11","3","20231108112140-Aufgabe 3.pdf","20231108112248"
"GdP23","01","09","11","2","20231108112312-16994389697304318753845239371993.jpg","20240605120119"
"GdP23","02","03","7","4","20231108115800-Zahlen.fs","20231108120307"
"GdP23","02","03","7","4","20231108120315-Zahlen.fs","20231108120816"
"GdP23","02","03","7","4","20231108120821-Zahlen.fs","20231108121403"
"GdP23","02","03","7","4","20231108121408-Zahlen.fs","20231108171033"
"GdP23","02","03","20","4","20231108144749-Zahlen.fs","20231108145041"
"GdP23","02","03","20","4","20231108145046-Zahlen.fs","20231108145747"
